No,Brand,CPU,GPU,RAM Type,RAM Size (GB),Storage (GB),Screen Type,Refresh Rate (Hz),Uniqueness,Upgradeable,Price (Rupiah)
281,HP,Intel Core i5-1240P,,DDR4,8,512.0,LED,60,1,1,10349000
282,LENOVO,Intel Core i5-1335U,,DDR4,8,512.0,LED,60,2,0,10374000
283,HP,Intel Core i5-1240P,,DDR4,8,512.0,LED,60,0,1,10379000
284,MSI,Intel Core i7-12650HX,RTX 2050,DDR4,8,512.0,LED,144,0,1,10391600
285,ASUS,Intel Core i7-1355U,,DDR4,8,512.0,LED,60,1,1,10399000
286,ASUS,Intel Core i5-1335U,,DDR4,8,512.0,LED,60,1,1,10399000
287,ASUS,Intel Core i7-1355U,,DDR4,8,512.0,LED,60,1,1,10419000
288,ASUS,Intel Core i7-1355U,,DDR4,8,512.0,LED,60,1,1,10469000
289,ASUS,Intel Core i7-1355U,,DDR4,8,512.0,LED,60,1,1,10469000
290,ASUS,Intel Core i5-1335U,,DDR4,8,512.0,LED,60,1,1,10469000
291,HP,Intel Core i7-1250U,,DDR4,16,512.0,LED,60,0,1,10499000
292,ASUS,Intel Core i5-1335U,,DDR4,8,512.0,LED,60,1,1,10499000
293,ASUS,Intel Core i7-1355U,,DDR4,8,512.0,LED,60,1,1,10499000
294,HP,Intel Core i7-1255U,,DDR4,16,512.0,LED,60,0,1,10499000
295,HP,Intel Core i5-1135G7,,DDR4,8,512.0,LED,60,0,1,10499000
296,ASUS,Intel Core i7-1355U,,DDR4,8,512.0,LED,60,1,1,10499000
297,HP,AMD Ryzen 5 7540U,,DDR5,16,512.0,LED,60,0,1,10499000
298,LENOVO,AMD Ryzen 3 5300U,,DDR4,8,512.0,LED,60,2,1,10499000
299,HP,Intel Core i5-1335U,,DDR4,8,512.0,LED,60,0,1,10550000
300,ASUS,Intel Core i7-1355U,,DDR4,8,512.0,LED,60,0,1,10579000
301,HP,Intel Core i5-1240P,,DDR4,8,512.0,LED,60,0,1,10587203
302,HP,Intel Core i5-12450HX,RTX 3050 Laptop,DDR4,8,512.0,LED,144,0,1,10589000
